name,Bombs_kg,Cruise_speed_kmh,Dry_thrust_kg,Empty_weight_kg,Gross_weight_kg,Guns_mm,Height_m,Length_m,Loaded_weight_kg,Max._takeoff_weight_kg,Maximum_speed_kmh,Powerplant_kg,Powerplant_kW,Powerplant_m,Range_m,Rate_of_climb_m,Rate_of_climb_ms,Service_ceiling_m,Thrust_with_afterburner_kg,Wing_area_m,Wing_area_m2,Wing_loading_kg,Wing_loading_m2,Wingspan_m,country,year,number,status
Folland Gnat,NA,NA,NA,2175,NA,NA,2.46,8.74,2835,4100,NA,NA,NA,NA,NA,NA,101.6,14630,NA,NA,12.69,NA,NA,6.73,United Kingdom,1955,449,Retired
Friedrichshafen FF.43,NA,NA,NA,797.868328,1078.188184,NA,3.3528000000000002,8.5344,NA,NA,164.15268,NA,89.48400000000001,NA,NA,NA,2.79908,2999.232,NA,NA,31.029602,NA,NA,9.7536,German Empire,1916,1,Abandoned
General Aviation XFA,NA,NA,NA,833,1138,NA,2.81,6.75,NA,NA,274,NA,NA,NA,NA,NA,7.47,6157,NA,NA,16.25,NA,NA,7.77,United States,1932,1,Abandoned
General Dynamics F-16 Fighting Falcon,NA,NA,NA,8570,NA,19.9898,4.88,15.06,12e3,19200,NA,NA,NA,NA,NA,NA,254,NA,NA,NA,27.87,NA,NA,9.96,United States,1974,4500,Operational
General Dynamics F-16XL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,United States,1982,2,Abandoned
General Dynamics/Grumman F-111B,NA,NA,NA,20910,NA,19.9898,4.8,20.98,35800,39900,NA,NA,NA,NA,NA,NA,108,19800,NA,NA,NA,NA,NA,NA,United States,1965,7,Abandoned
Gloster F.9/37,NA,NA,NA,4013,NA,NA,3.53,11.29,5280,NA,NA,NA,NA,NA,NA,NA,12.5,9150,NA,NA,35.9,NA,NA,15.26,United Kingdom,1939,2,Abandoned
Gloster Gamecock,NA,NA,NA,875,NA,NA,2.94,5.99,1297,NA,NA,NA,317,NA,NA,NA,36,6735,NA,NA,24.52,NA,NA,9.07,United Kingdom,1925,98,Retired
Gloster Goldfinch,NA,NA,NA,933,1467,NA,3.19,6.7,NA,NA,NA,NA,335,NA,NA,NA,NA,8217,NA,NA,25.56,NA,NA,9.14,United Kingdom,1927,1,Abandoned
Gloster Gorcock,NA,NA,NA,1098,1442,NA,3.11,7.94,NA,NA,NA,NA,335,NA,NA,NA,NA,7315,NA,NA,23.22,NA,NA,8.68,United Kingdom,1925,3,Abandoned
Gloster Grebe,NA,NA,NA,780,NA,7.7,2.82,6.17,1189,NA,244.61968,NA,298,NA,NA,NA,NA,7e3,NA,NA,23.6,NA,NA,8.94,United Kingdom,1923,133,Retired
Gloster Grouse,NA,NA,NA,619,NA,NA,2.86,6.19,960,NA,NA,NA,138,NA,NA,NA,NA,5500,NA,NA,19,NA,NA,8.47,United Kingdom,1923,1,Abandoned
Gloster Guan,NA,NA,NA,1348,1725,NA,3.29,6.7,NA,NA,NA,NA,475,NA,NA,NA,NA,9450,NA,NA,27.68,NA,NA,9.69,United Kingdom,1926,2,Abandoned
Gloster Javelin,NA,NA,NA,10886,NA,NA,4.88,17.15,14325,19580,1142.6314,NA,NA,NA,NA,NA,27.45,15865,NA,NA,86,NA,NA,15.85,United Kingdom,1951,436,Retired
Goodyear F2G Corsair,NA,NA,NA,NA,NA,NA,4.9,10.3,NA,NA,NA,NA,2200,NA,NA,NA,22.35,11800,NA,NA,29,NA,NA,12.5,United States,1945,10,Abandoned
Gourdou-Leseurre GL.50,NA,NA,NA,NA,2009.866152,NA,2.7432000000000003,NA,NA,NA,210.82354,NA,223.71,NA,NA,NA,NA,NA,NA,NA,40.00124471,NA,NA,14.325600000000001,France,1922,2,Abandoned
Gourdou-Leseurre Type A,NA,NA,NA,593.751928,780.17824,NA,2.1336,6.4008,NA,NA,241.401,NA,134.226,NA,NA,NA,5.791200000000001,7010.4000000000005,NA,NA,16.629637,NA,NA,8.8392,France,1918,1,Abandoned
Grigorovich DI-3,NA,NA,NA,1486.874576,NA,NA,NA,7.62,2121.9033759999998,NA,NA,NA,544.361,NA,NA,NA,NA,6299.9112000000005,NA,NA,30.100572,NA,NA,11.5824,USSR,1931,1,Abandoned
Grigorovich I-1,NA,NA,NA,NA,NA,NA,NA,7.315200000000001,NA,NA,230.13562,NA,298.28000000000003,NA,NA,NA,NA,5999.988,NA,NA,NA,NA,NA,10.668000000000001,USSR,1924,1,Abandoned
