name,Bombs_kg,Cruise_speed_kmh,Dry_thrust_kg,Empty_weight_kg,Gross_weight_kg,Guns_mm,Height_m,Length_m,Loaded_weight_kg,Max._takeoff_weight_kg,Maximum_speed_kmh,Powerplant_kg,Powerplant_kW,Powerplant_m,Range_m,Rate_of_climb_m,Rate_of_climb_ms,Service_ceiling_m,Thrust_with_afterburner_kg,Wing_area_m,Wing_area_m2,Wing_loading_kg,Wing_loading_m2,Wingspan_m,country,year,number,status
Polikarpov I-180,NA,NA,NA,1811.192856,NA,NA,2.4384,7.010400000000001,2423.995648,2644.44136,585.2320000000001,NA,820.27,NA,NA,NA,16.6624,10997.184000000001,NA,NA,16.10380602,NA,NA,10.0584,USSR,1938,13,Abandoned
Polikarpov I-185,NA,NA,NA,2648.97728,NA,NA,2.4384,7.62,3492.6584,NA,629.25194,NA,1491.4,NA,NA,NA,16.002000000000002,10997.184000000001,NA,NA,15.5240913,NA,NA,9.7536,USSR,1941,4,Abandoned
Polikarpov I-190,NA,NA,NA,1451.9479919999999,NA,NA,2.7432000000000003,6.096,1914.611832,3017.293984,NA,NA,596.5600000000001,NA,NA,NA,15.1638,10700.004,NA,NA,22.1387849,NA,NA,9.7536,USSR,1939,2,Abandoned
Polikarpov I-3,NA,NA,NA,1399.784912,NA,NA,NA,7.9248,1846.11944,NA,277.8,NA,544.361,NA,NA,NA,NA,7199.376,NA,NA,27.852319400000003,NA,NA,10.972800000000001,USSR,1928,389,Retired
Pomilio Gamma,NA,NA,NA,679.934408,949.821648,NA,NA,6.096,NA,NA,225.3076,NA,186.425,NA,NA,NA,NA,NA,NA,NA,21.90095322,NA,NA,7.9248,Italy,1918,2,Abandoned
Pomilio PD,NA,NA,NA,NA,1534.955328,NA,3.3528000000000002,8.8392,NA,NA,194.73014,NA,223.71,NA,NA,NA,NA,5000.244000000001,NA,NA,NA,NA,NA,11.5824,Italy,1917,431,Retired
Ponnier M-1,NA,NA,NA,NA,NA,7.696199999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,France,1915,20,Retired
Potez 630,49.89512,NA,NA,3134.774312,NA,NA,3.048,10.668000000000001,NA,4530.023304,NA,NA,521.99,NA,NA,NA,8.39724,8500.872000000001,NA,NA,32.701856,NA,NA,15.8496,France,1936,1360,Retired
Praga E-45,NA,NA,NA,NA,NA,7.924799999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Czechoslovakia,1934,1,Abandoned
PZL P.1,NA,NA,NA,1115.83632,NA,NA,2.7432000000000003,6.7056000000000004,1576.685792,NA,NA,NA,469.791,NA,NA,NA,NA,7985.76,NA,NA,19.50963,NA,NA,10.668000000000001,Poland,1929,2,Abandoned
PZL P.24,NA,NA,NA,1326.7566,NA,NA,2.688336,6.998208000000001,1869.252632,1995.8048,408.77236,NA,700,NA,NA,NA,10.972800000000001,8999.829600000001,NA,NA,17.9024081,NA,NA,999.744,Poland,1933,192,Retired
PZL P.7,NA,NA,NA,1088.6208,NA,NA,2.4384,6.7056000000000004,1475.988368,NA,326.69602,NA,388,NA,NA,NA,10.4,8503.92,NA,NA,17.930279,NA,NA,10.3632,Poland,1930,151,Retired
PZL.50 Jastrząb,NA,NA,NA,1896.01456,NA,NA,2.4384,7.9248,2394.96576,NA,NA,NA,627,NA,NA,NA,11.988800000000001,NA,NA,NA,19.416727,NA,NA,9.4488,Poland,1939,1,Abandoned
Reggiane Re.2000,NA,NA,NA,2079.71932,NA,NA,3.048,7.9248,2839.032328,NA,NA,NA,NA,NA,NA,NA,NA,11199.876,NA,NA,NA,NA,NA,10.972800000000001,Italy,1939,180,Retired
Reggiane Re.2001,NA,NA,NA,2494.756,NA,NA,3.048,8.2296,3279.923752,NA,542.34758,NA,NA,NA,NA,NA,13.16228,11000.232,NA,NA,20.399640740000002,NA,NA,10.972800000000001,Italy,1940,252,Retired
Reggiane Re.2002,NA,NA,NA,2394.96576,NA,NA,3.048,7.9248,NA,3233.203776,529.47286,NA,876.1975,NA,NA,NA,NA,10500.36,NA,NA,NA,NA,NA,10.972800000000001,Italy,1940,225,Retired
Reggiane Re.2005,NA,514.9888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Italy,1942,48,Retired
Renard Epervier,NA,NA,NA,793.786,NA,NA,2.7432000000000003,6.7056000000000004,1299.994672,NA,273.5878,NA,357.93600000000004,NA,NA,NA,NA,NA,NA,NA,20.00015784,NA,NA,10.0584,Belgium,1928,2,Abandoned
"Renard R.36, R.37 & R.38",NA,NA,NA,1769.915984,NA,NA,2.7432000000000003,8.5344,2469.80844,NA,514.9888,NA,678.587,NA,NA,NA,NA,NA,NA,NA,20.00015784,NA,NA,11.5824,Belgium,1937,3,Abandoned
Republic F-105 Thunderchief,NA,NA,NA,12470,NA,19.9898,5.99,19.63,16165,23834,NA,NA,NA,NA,NA,NA,195,14800,NA,NA,35.76,NA,NA,10.65,United States,1955,833,Retired
Republic F-84 Thunderjet,NA,764.8760000000001,NA,5200,NA,NA,3.84,11.6,8200,10590,1000.08,NA,NA,NA,NA,NA,19.1,12350,NA,NA,24,NA,NA,11.1,United States,1946,7524,Retired
Republic P-43 Lancer,NA,NA,NA,2713,NA,12.7,4.3,8.7,3365,3837,573,NA,895,NA,NA,NA,13,10970,NA,NA,20.7,NA,NA,11,United States,1940,272,Retired
Republic P-47 Thunderbolt,NA,NA,NA,4535,NA,NA,4.47,11,5774.48,7938,697,NA,1938,NA,NA,NA,16.15,13100,NA,NA,27.87,NA,NA,12.42,United States,1941,15686,Retired
Republic XF-91 Thunderceptor,NA,NA,NA,6410,NA,20.066,5.51,13.18,8400,12840,1584,NA,NA,NA,NA,14500,NA,NA,NA,NA,29.73,NA,NA,9.53,United States,1949,2,Abandoned
Republic XF-96/F-84F Thunderstreak,NA,NA,NA,5200,NA,NA,4.39,13.23,NA,12701,NA,NA,NA,NA,NA,NA,42,14e3,NA,NA,30,NA,NA,10.25,United States,1950,3428,Retired
Republic XP-72,NA,NA,NA,NA,NA,NA,4.88,11.15,NA,NA,NA,NA,NA,NA,NA,NA,26.8,12805,NA,NA,27.9,NA,NA,12.47,United States,1944,2,Abandoned
Rockwell XFV-12,NA,NA,NA,6259,NA,NA,NA,13.4,8850,11e3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.7,United States,NA,1,Abandoned
Roussel R.30,249.4756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,France,1939,1,Abandoned
Royal Aircraft Factory F.E.2,NA,NA,NA,937,NA,NA,3.85,9.83,1380,NA,147.25460999999999,NA,119,NA,NA,3048,NA,3353,NA,NA,45.9,NA,NA,14.55,United Kingdom,1914,1939,Retired
Royal Aircraft Factory F.E.8,NA,NA,NA,406,NA,NA,2.8,7.21,668,NA,151,NA,82,NA,NA,NA,NA,4420,NA,NA,20.25,NA,NA,9.6,United Kingdom,1915,295,Retired
Royal Aircraft Factory S.E.2,NA,NA,NA,327,NA,NA,2.82,6.35,515,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.39,United Kingdom,1913,1,Retired
Royal Aircraft Factory S.E.4,NA,NA,NA,NA,NA,NA,2.74,6.5,NA,NA,NA,NA,119,NA,NA,NA,8.1,NA,NA,NA,17.5,NA,NA,8.38,United Kingdom,1914,1,Abandoned
Royal Aircraft Factory S.E.4a,NA,NA,NA,NA,NA,NA,2.87,6.35,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.36,United Kingdom,1915,4,Retired
Royal Aircraft Factory S.E.5 & 5a,11,NA,NA,639,NA,NA,2.89,6.38,880,902,222,NA,150,NA,NA,NA,NA,5185,NA,NA,22.67,NA,NA,8.11,United Kingdom,1916,5205,Retired
Rumpler D.I,NA,NA,NA,630.49288,843.68112,NA,2.4384,5.486400000000001,NA,NA,177.0274,NA,119.31200000000001,NA,NA,NA,NA,7010.4000000000005,NA,NA,NA,NA,NA,8.2296,German Empire,1917,6,Abandoned
Saab 29 Tunnan,NA,NA,NA,4844.36256,NA,NA,3.6576000000000004,10.0584,NA,8375.57628,1062.1644,NA,NA,NA,NA,NA,32.1056,15499.08,NA,NA,24.15478,NA,NA,10.972800000000001,Sweden,1948,661,Retired
Saab 32 Lansen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1198.9583,NA,NA,NA,NA,NA,99.99980000000001,NA,NA,NA,37.4027478,NA,NA,NA,Sweden,1952,450,Retired
Saab 35 Draken,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199.99960000000002,NA,NA,NA,49.2014288,NA,NA,NA,Sweden,1955,644,Retired
Saab 37 Viggen,NA,NA,NA,9525.432,NA,NA,5.7912,16.154400000000003,NA,19958.048,NA,NA,NA,NA,NA,NA,NA,18013.68,NA,NA,46.4515,NA,NA,10.3632,Sweden,1967,329,Retired
Saab JAS 39 Gripen,NA,NA,NA,6803.88,NA,NA,4.51104,14.11224,NA,14015.9928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.007669,NA,NA,8.41248,Sweden,1988,235,Operational
Saunders A.10,NA,NA,NA,NA,NA,NA,2.97,7.44,NA,NA,322,NA,358,NA,NA,NA,NA,NA,NA,NA,25.36,NA,NA,9.75,United Kingdom,1929,3,Abandoned
Savoia-Marchetti SM.91,NA,NA,NA,6386.57536,NA,NA,3.6576000000000004,13.1064,NA,NA,583.38,NA,NA,NA,NA,NA,NA,10797.54,NA,NA,41.7413179,NA,NA,19.5072,Italy,1943,2,Abandoned
Savoia-Marchetti SM.92,NA,NA,NA,5887.62416,NA,NA,3.9624,13.411200000000001,NA,NA,614.864,NA,NA,NA,NA,NA,NA,11996.928,NA,NA,38.5082935,NA,NA,18.288,Italy,1943,1,Abandoned
SEA IV,NA,NA,NA,1012.870936,NA,NA,3.048,8.2296,NA,1616.601888,NA,NA,260.995,NA,NA,NA,NA,7398.105600000001,NA,NA,37.439909,NA,NA,11.8872,France,1918,117,Retired
Seversky AP-9,NA,NA,NA,2075,NA,NA,2.97,8.17,2775,3050,NA,NA,783,NA,NA,NA,9.8,9570,NA,NA,20.43,NA,NA,10.97,United States,1939,1,Abandoned
Seversky P-35,NA,NA,NA,2075,NA,NA,2.97,8.17,2775,3050,NA,NA,783,NA,NA,NA,9.8,9570,NA,NA,20.43,NA,NA,10.97,United States,1935,136,Retired
Seversky XP-41,NA,470,NA,2450,NA,NA,3.8,8.2,3e3,3273,517,NA,895,NA,NA,NA,NA,9600,NA,NA,20.4,NA,NA,11,United States,1939,1,Abandoned
Shenyang J-11,NA,NA,NA,16381.47508,NA,29.971999999999998,5.7912,21.640800000000002,23925.617224,33112.216,NA,NA,NA,NA,NA,NA,304.8,19057.0104,NA,NA,62.040623399999994,NA,NA,14.630400000000002,China (PRC),1998,278,Operational
Shenyang J-15,NA,NA,NA,17508.6512,NA,NA,5.9192160000000005,21.945600000000002,27215.52,32999.725184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.7066,China (PRC),2009,24,Operational
Shenyang J-16,NA,NA,NA,17508.6512,NA,NA,6.355080000000001,21.945600000000002,26308.336,34926.584,NA,NA,NA,NA,NA,NA,NA,20000.0616,NA,NA,62.040623399999994,NA,NA,14.7066,China (PRC),2011,50,Operational
Shenyang J-5,NA,NA,NA,NA,NA,NA,3.6576000000000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.575429,NA,NA,9.4488,China (PRC),1956,1952,Retired
Shenyang J-6,NA,NA,NA,5435.392936,NA,NA,3.6576000000000004,12.4968,NA,7544.142144,1544.9664,NA,NA,NA,NA,NA,179.959,17891.760000000002,NA,NA,25.08381,NA,NA,9.144,China (PRC),1958,5202,Retired
Shenyang J-8 & J-8II,NA,NA,NA,NA,NA,NA,5.1816,21.336000000000002,15287.864768,18878.952632,NA,NA,NA,NA,NA,NA,NA,NA,NA,138.3792,NA,NA,NA,9.144,China (PRC),1969,390,Operational
Short Gurnard,NA,NA,NA,NA,NA,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United Kingdom,1929,2,Abandoned
SIAI S.52,NA,NA,NA,800.136288,1099.9605999999999,NA,NA,7.010400000000001,NA,NA,270.36912,NA,223.71,NA,NA,NA,NA,NA,NA,NA,24.00056102,NA,NA,10.668000000000001,Italy,1924,2,Retired
Siemens-Schuckert D.I,NA,NA,NA,429.098032,NA,NA,2.4384,5.7912,673.58412,NA,NA,NA,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.315200000000001,German Empire,1916,95,Retired
Siemens-Schuckert D.II,NA,NA,NA,539.77448,NA,NA,2.4384,5.486400000000001,734.81904,NA,NA,NA,NA,NA,NA,NA,NA,7985.76,NA,NA,15.143189,NA,NA,8.2296,German Empire,1917,3,Abandoned
Siemens-Schuckert D.III,NA,NA,NA,534,NA,NA,2.8,5.7,NA,725,180,NA,119,NA,NA,NA,NA,8e3,NA,NA,18.9,NA,NA,8.43,German Empire,1917,80,Retired
Siemens-Schuckert D.IV,NA,NA,NA,539.77448,NA,NA,2.4384,5.486400000000001,734.81904,NA,NA,NA,NA,NA,NA,NA,NA,7985.76,NA,NA,15.143189,NA,NA,8.2296,German Empire,1918,123,Retired
Siemens-Schuckert D.V,NA,NA,NA,539.77448,NA,NA,2.4384,5.486400000000001,734.81904,NA,NA,NA,NA,NA,NA,NA,NA,7985.76,NA,NA,15.143189,NA,NA,8.2296,German Empire,1918,1,Abandoned
"Siemens-Schuckert E.I, E.II & E.III",NA,NA,NA,472.189272,671.769752,NA,NA,7.010400000000001,NA,NA,NA,NA,74.57000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.7536,German Empire,1915,28,Retired
Sikorsky S-16,NA,NA,NA,406.872024,NA,NA,2.7432000000000003,6.096,675.85208,NA,120.7005,NA,74.57000000000001,NA,NA,NA,NA,NA,NA,NA,25.360660940000002,NA,NA,8.2296,Russian Empire,1915,30,Retired
Sikorsky S-20,NA,NA,NA,395.07863199999997,NA,NA,NA,6.4008,570.1651439999999,NA,189.90212,NA,89.48400000000001,NA,NA,NA,NA,NA,NA,NA,17.00031997,NA,NA,8.5344,Russian Empire,1916,5,Retired
SNCASE (Sud-Est) SE.100,NA,NA,NA,NA,NA,NA,4.2672,11.5824,7484.268,NA,579.3624,NA,805.356,NA,NA,NA,NA,NA,NA,NA,32.980565,NA,NA,15.5448,France,1939,1,Abandoned
Sopwith 1½ Strutter,NA,NA,NA,593,NA,7.7,3.12,7.7,975,977,NA,NA,97,NA,NA,NA,NA,4730,NA,NA,32.16,NA,NA,10.21,United Kingdom,1915,5939,Retired
Sopwith Camel,NA,NA,NA,420,NA,7.7,2.59,5.72,659,NA,182,NA,97,NA,NA,NA,5.5,5791,NA,NA,21.46,NA,NA,8.53,United Kingdom,1916,5490,Retired
Sopwith Dolphin,NA,NA,NA,639.56472,NA,NA,2.4384,6.7056000000000004,NA,888.586728,210.82354,NA,149.14000000000001,NA,NA,3048,NA,6096,NA,NA,24.433489,NA,NA,9.7536,United Kingdom,1917,2072,Retired
Sopwith Dragon,NA,NA,NA,NA,967,NA,2.9,6.63,NA,NA,240,NA,268,NA,NA,NA,NA,7600,NA,NA,25.2,NA,NA,9.47,United Kingdom,1918,200,Abandoned
Sopwith Gunbus,NA,NA,NA,NA,NA,7.7,3.46,9.91,NA,NA,NA,NA,112,NA,NA,NA,NA,1200,NA,NA,44.1,NA,NA,15.24,United Kingdom,1914,23,Retired
Sopwith Pup,NA,NA,NA,358,NA,7.7,2.87,5.89,557,NA,NA,NA,60,NA,NA,NA,NA,5600,NA,NA,23.6,NA,NA,8.08,United Kingdom,1916,1770,Retired
Sopwith Schneider,NA,NA,NA,NA,NA,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United Kingdom,1914,136,Retired
Sopwith Snail,NA,NA,NA,632,NA,NA,2.39,5.79,873,NA,NA,NA,127,NA,NA,NA,NA,NA,NA,NA,17.7,NA,NA,7.72,United Kingdom,1918,2,Abandoned
Sopwith Snapper,NA,NA,NA,665,NA,NA,3.05,6.28,995,NA,NA,NA,269,NA,NA,NA,NA,7e3,NA,NA,27.1,NA,NA,8.54,United Kingdom,1919,3,Abandoned
Sopwith Snark,NA,NA,NA,NA,NA,7.7,3.3,6.25,1038,NA,NA,NA,269,NA,NA,NA,NA,NA,NA,NA,29.9,NA,NA,8.08,United Kingdom,1919,3,Abandoned
Sopwith Snipe,11,NA,NA,596,NA,7.7,2.9,6.05,918,NA,NA,NA,172,NA,NA,NA,NA,5945,NA,NA,25.2,NA,NA,9.48,United Kingdom,1917,2097,Retired
Sopwith Triplane,NA,NA,NA,500,NA,NA,3.2,5.73,700,NA,187,NA,97,NA,NA,NA,NA,6250,NA,NA,21.46,NA,NA,8,United Kingdom,1916,147,Retired
SPAD S.VII,NA,NA,NA,509.837408,NA,NA,2.1336,5.7912,NA,740.262144,191.51146,NA,111.855,NA,NA,NA,NA,5334,NA,NA,17.837376,NA,NA,7.62,France,1916,6e3,Retired
SPAD S.XIII,NA,NA,NA,564.72204,NA,7.7,2.4384,6.096,856.381696,845.041896,NA,NA,164,NA,NA,NA,1.95072,6649.212,NA,NA,21.088981,NA,NA,8.2296,France,1917,8472,Retired
SPAD S.XX,NA,NA,NA,866.814312,1305.891368,NA,2.7432000000000003,7.010400000000001,NA,NA,217.2609,NA,223.71,NA,NA,NA,5.588,7997.952,NA,NA,30.007669,NA,NA,9.4488,France,1918,100,Retired
Standard E-1,NA,NA,NA,838,519,NA,2.38,5.76,NA,NA,160,NA,60,NA,NA,NA,NA,4510,NA,NA,14.21,NA,NA,7.31,United States,1917,168,Retired
Sukhoi P-1,NA,NA,NA,NA,NA,NA,NA,21.031200000000002,10750.1304,NA,NA,NA,NA,NA,NA,NA,NA,19499.58,NA,NA,44.036022,NA,NA,9.7536,USSR,1957,1,Abandoned
Sukhoi Su-11,NA,NA,NA,9071.84,NA,NA,4.8768,18.288,13607.76,NA,NA,NA,NA,NA,NA,NA,137.16,16995.648,NA,NA,34.002498,NA,NA,8.2296,USSR,1958,108,Retired
Sukhoi Su-11 (1947),NA,NA,NA,4060.101992,NA,NA,3.3528000000000002,10.3632,5889.8921199999995,NA,NA,NA,NA,NA,NA,NA,NA,12801.6,NA,NA,20.159951,NA,NA,10.972800000000001,USSR,1947,1,Abandoned
Sukhoi Su-15,NA,NA,NA,10759.20224,NA,NA,4.572,21.945600000000002,17200.20864,17898.74032,NA,NA,NA,NA,NA,NA,228.60000000000002,18099.024,NA,NA,36.603782,NA,NA,9.144,USSR,1962,1290,Retired
Sukhoi Su-15 (1949),NA,NA,NA,7408.9717279999995,NA,NA,NA,15.24,10436.698328,NA,985.264,NA,NA,NA,NA,5000.244000000001,NA,14999.208,NA,NA,36.046364,NA,NA,12.8016,USSR,1949,1,Abandoned
Sukhoi Su-27,NA,NA,NA,16374.6712,NA,NA,5.7912,21.945600000000002,23428.0268,30436.0232,NA,NA,NA,NA,NA,NA,299.72,19057.0104,NA,NA,61.966301,NA,NA,14.630400000000002,USSR,1977,680,Operational
Sukhoi Su-27M/Su-35,NA,NA,NA,17200.20864,NA,NA,5.7912,21.945600000000002,25700.52272,34500.207519999996,NA,NA,NA,NA,NA,NA,NA,18013.68,NA,NA,61.966301,NA,NA,NA,Russia,1988,18,Operational
Sukhoi Su-30,NA,NA,NA,17699.613432,NA,NA,6.096,22.250400000000003,24902.2008,34500.207519999996,NA,NA,NA,NA,NA,NA,229.997,17312.64,NA,NA,61.966301,NA,NA,14.630400000000002,Russia,1989,396,Operational
Sukhoi Su-30MKI,NA,NA,NA,18399.95948,NA,NA,6.096,22.250400000000003,26090.61184,38827.4752,NA,NA,NA,NA,NA,NA,NA,17312.64,NA,NA,61.966301,NA,NA,14.630400000000002,"India, Russia",2e3,230,Operational
Sukhoi Su-32/Su-34,NA,NA,NA,22501.791936,NA,NA,5.7912,21.945600000000002,38999.84016,45098.3846,NA,NA,NA,NA,NA,NA,NA,14996.16,NA,NA,62.040623399999994,NA,NA,14.630400000000002,Russia,1990,15,Operational
Sukhoi Su-33,NA,NA,NA,18415.8352,NA,NA,5.7912,21.031200000000002,29941.60792,32999.725184,NA,NA,NA,NA,NA,NA,246.38000000000002,17007.84,NA,NA,67.81919,NA,NA,14.630400000000002,Russia,1987,24,Operational
Sukhoi Su-37,NA,NA,NA,18502.01768,NA,NA,6.4008,21.945600000000002,NA,34001.25632,NA,NA,NA,NA,NA,NA,NA,18806.16,NA,NA,61.966301,NA,NA,14.630400000000002,Russia,1996,2,Abandoned
Sukhoi Su-47,NA,NA,NA,NA,NA,NA,6.096,22.555200000000003,24999.72308,35000.065904,NA,NA,NA,NA,NA,NA,234.69600000000003,17998.440000000002,NA,NA,NA,NA,NA,14.9352,Russia,1997,1,Prototype
Sukhoi Su-7,NA,NA,NA,8940.29832,NA,NA,4.8768,16.764,NA,15208.93976,NA,NA,NA,NA,NA,NA,160.02,17599.152000000002,NA,NA,34.002498,NA,NA,9.144,USSR,1955,1847,Retired
Sukhoi Su-7 (1944),NA,NA,NA,4000.68144,NA,NA,3.6576000000000004,9.144,5533.8224,NA,NA,NA,1640.54,NA,NA,5000.244000000001,NA,8100.06,NA,NA,26.01284,NA,NA,13.411200000000001,USSR,1944,1,Abandoned
Sukhoi Su-9,NA,NA,NA,8620.062368,NA,NA,4.8768,17.3736,12250.159144,13499.805104,NA,NA,NA,NA,NA,NA,137.16,16764,NA,NA,34.002498,NA,NA,8.2296,USSR,1957,1100,Retired
Sukhoi Su-9 (1946),NA,NA,NA,4060.101992,NA,NA,3.3528000000000002,10.3632,5889.8921199999995,NA,NA,NA,NA,NA,NA,NA,NA,12801.6,NA,NA,20.159951,NA,NA,10.972800000000001,USSR,1946,1,Abandoned
Sukhoi T-3,NA,NA,NA,NA,NA,NA,NA,16.764,NA,NA,2102.02,NA,NA,NA,NA,NA,NA,17999.964,NA,NA,24.2012315,NA,NA,8.2296,USSR,1956,3,Abandoned
Supermarine 224 F.7/30,NA,NA,NA,1552,NA,7.7,3.63,8.97,2151,NA,NA,NA,448,NA,NA,NA,NA,11826,NA,NA,27.4,NA,NA,13.97,United Kingdom,1934,1,Abandoned
Supermarine 508,NA,NA,NA,10869,NA,NA,5.28,16.84,15513,NA,1184.47424,NA,NA,NA,NA,NA,34.29508,14e3,NA,NA,45.06,NA,NA,11.33,United Kingdom,1951,2,Abandoned
Supermarine 510,NA,NA,NA,6094,NA,NA,4.02,12.88,NA,9381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.5,NA,NA,9.85,United Kingdom,1948,1,Abandoned
Supermarine 528,NA,NA,NA,6094,NA,NA,4.02,12.88,NA,9381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.5,NA,NA,9.85,United Kingdom,1950,1,Abandoned
Supermarine 529,NA,NA,NA,10869,NA,NA,5.28,16.84,15513,NA,1184.47424,NA,NA,NA,NA,NA,34.29508,14e3,NA,NA,45.06,NA,NA,11.33,United Kingdom,1952,1,Abandoned
Supermarine 535,NA,NA,NA,6094,NA,NA,4.02,12.88,NA,9381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.5,NA,NA,9.85,United Kingdom,1950,1,Abandoned
Supermarine Scimitar,NA,NA,NA,10869,NA,NA,5.28,16.84,15513,NA,1184.47424,NA,NA,NA,NA,NA,34.29508,14e3,NA,NA,45.06,NA,NA,11.33,United Kingdom,1956,76,Retired
Supermarine Seafang,NA,NA,NA,3636,NA,NA,3.82,10.39,4750,NA,764.4365,NA,1755,NA,NA,NA,23.5,12500,NA,NA,19.5,NA,NA,10.67,United Kingdom,1946,18,Abandoned
Supermarine Seafire,NA,351,NA,2814,NA,NA,3.48,9.21,NA,3466,578,NA,1182,NA,NA,1525,NA,9754,NA,NA,22.5,NA,NA,11.22,United Kingdom,1941,2334,Retired
Supermarine Spiteful,450,NA,NA,3331,NA,20.066,4.09,10.03,NA,4523,NA,NA,1772,NA,NA,NA,24.8,12800,NA,NA,19.5,NA,NA,10.67,United Kingdom,1944,19,Abandoned
Supermarine Spitfire,NA,NA,NA,2297,NA,NA,3.86,9.12,3e3,3039,596.344,NA,1096,NA,NA,NA,13.2,11125,NA,NA,22.48,NA,NA,11.23,United Kingdom,1936,20351,Retired
Supermarine Swift,NA,NA,NA,6094,NA,NA,4.02,12.88,NA,9381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.5,NA,NA,9.85,United Kingdom,1948,197,Retired
Svenska Aero Jaktfalken I & II,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,388,NA,NA,NA,NA,NA,NA,NA,21.832205,NA,NA,NA,Sweden,1929,19,Retired
Tachikawa Ki-106,NA,NA,NA,2659.863488,NA,NA,3.3528000000000002,9.7536,3601.52048,4170.324848,584.19042,NA,1469.029,NA,NA,NA,21.844,11826.24,NA,NA,20.999887023,NA,NA,10.972800000000001,Japan,1945,3,Abandoned
Thomas-Morse MB-2,NA,NA,NA,929,1258,NA,2.43,7.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,9.44,United States,1918,2,Abandoned
Thomas-Morse MB-3,NA,NA,NA,778,NA,NA,2.59,6.1,1151,NA,NA,NA,217,NA,NA,NA,6.3,5945,NA,NA,21.28,NA,NA,7.92,United States,1919,260,Retired
Thomas-Morse XP-13,NA,209.2142,NA,NA,NA,NA,2.56,7.16,NA,NA,276.80648,NA,448,NA,NA,NA,8.6,6300,NA,NA,17.6,NA,NA,8.53,United States,1929,1,Abandoned
Thulin K,NA,NA,NA,NA,519.816432,NA,2.4384,6.4008,NA,NA,NA,NA,67.113,NA,NA,NA,NA,5486.4000000000005,NA,NA,14.0004821,NA,NA,8.8392,Sweden,1917,19,Retired
Tupolev ANT-13/I-8,NA,NA,NA,1000.17036,NA,NA,NA,6.4008,1423.825288,NA,309.284,NA,466.0625,NA,NA,NA,NA,8499.9576,NA,NA,20.0020159,NA,NA,8.8392,USSR,1930,1,Abandoned
Tupolev ANT-23/I-12,NA,NA,NA,NA,NA,NA,NA,9.4488,2399.955272,NA,300.024,NA,391.4925,NA,NA,NA,NA,NA,NA,NA,29.998378699999996,NA,NA,15.5448,USSR,1931,1,Abandoned
Tupolev ANT-31/I-14,NA,NA,NA,NA,NA,7.619999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USSR,1933,20,Retired
Tupolev ANT-5/I-4,NA,NA,NA,977.944352,NA,NA,2.7432000000000003,7.010400000000001,1430.175576,NA,257.4944,NA,NA,NA,NA,NA,9.245600000000001,7650.4800000000005,NA,NA,23.783168,NA,NA,11.277600000000001,USSR,1927,369,Retired
Tupolev Tu-28/Tu-128,NA,NA,NA,24499.864696,NA,NA,7.150608000000001,30.059376000000004,40000.010519999996,NA,NA,NA,NA,NA,NA,NA,NA,15600.8832,NA,NA,96.93963535,NA,NA,17.529048,USSR,1961,188,Retired
VEF I-16,NA,NA,NA,1097.69264,NA,NA,2.4384,7.010400000000001,1536.769696,NA,NA,NA,402.678,NA,NA,NA,NA,8107.68,NA,NA,11.427069,NA,NA,8.2296,Latvia,1940,10,Abandoned
